                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.2745,                 1.6198,                 1.5437,                0.00758,                 0.0348,                0.00423,                0.00064,                 3.9421,                 7.3604,                 5.7352,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.2703,                 1.6226,                 1.5541,                0.73686,                0.01152,                0.00355,                0.00087,                 3.1366,                  6.721,                 4.3158,               0.000406,               0.000406,               0.000406
                     63,                 1.2513,                 1.6047,                 1.5378,                0.36558,                0.00204,                0.00062,                0.00015,                 3.6835,                 6.4615,                 5.6144,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.2552,                 1.5953,                 1.5355,                0.36558,                0.00204,                0.00062,                0.00015,                 4.6387,                 15.611,                 4.7187,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.2598,                 1.5988,                 1.5391,                0.00149,                0.05636,                0.00125,                0.00016,                 4.7355,                 48.161,                 8.5781,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.2585,                 1.6082,                 1.5346,                      0,                0.00125,                      0,                      0,                 5.5732,                 12.385,                 9.4549,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.2562,                 1.6066,                 1.5401,                0.00152,                0.01796,                0.00124,                0.00063,                 4.3102,                 6.1544,                 6.0376,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.2411,                 1.5615,                 1.5257,                 0.0035,                0.00073,                 0.0018,                0.00072,                 5.6312,                 6.6544,                 10.304,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.2516,                 1.6218,                 1.5373,                0.09189,                0.01455,                0.00108,                0.00031,                 3.9489,                 6.7539,                 4.7217,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.2486,                 1.5733,                 1.5344,                0.17211,                0.00655,                0.00287,                0.00071,                 3.2099,                  6.865,                 3.6811,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.2468,                 1.5729,                  1.534,                0.30057,                0.00102,                 0.0018,                 0.0006,                  3.775,                 7.5942,                 4.1867,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.2527,                 1.5633,                 1.5308,                0.09519,                0.00087,                0.00044,                0.00021,                 4.2497,                 7.8985,                  4.581,               0.000307,               0.000307,               0.000307
                     73,                 1.2239,                 1.5481,                 1.5107,                0.00288,                0.02523,                0.00175,                0.00045,                 4.2988,                 8.0152,                 7.0825,              0.0002971,              0.0002971,              0.0002971
                     74,                  1.235,                 1.5429,                 1.5225,                0.18256,                0.00437,                  6e-05,                  1e-05,                 5.3922,                 122.95,                    7.1,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.2174,                 1.5459,                 1.5114,                0.00231,                 0.0885,                0.00213,                0.00049,                 3.6292,                 44.074,                  4.223,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.2388,                 1.5265,                 1.5166,                0.27358,                0.00175,                  3e-05,                  1e-05,                 4.5312,                 36.652,                 5.8921,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.2445,                 1.5484,                 1.5226,                0.27358,                0.00175,                  3e-05,                  1e-05,                 4.5077,                  7.631,                 5.6185,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.2229,                  1.506,                 1.5105,                 0.0817,                0.35858,                 0.1096,                0.06498,                 2.9463,                 3.9435,                 3.8657,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.2201,                 1.4994,                 1.5105,                 0.0817,                0.35858,                 0.1096,                0.06498,                 5.6223,                 169.86,                 9.4901,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.2172,                 1.5114,                 1.5045,                0.00016,                0.00364,                  8e-05,                  4e-05,                 3.7515,                 7.3892,                 5.1909,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.2078,                 1.5156,                 1.5036,                0.45287,                0.06509,                 0.0202,                0.00595,                 3.4275,                 7.1449,                 4.3026,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.2269,                 1.5087,                 1.5131,                0.00269,                 0.0472,                0.00262,                0.00058,                 4.5264,                 6.8522,                 6.8583,               0.000208,               0.000208,               0.000208
                     83,                 1.2155,                 1.4956,                 1.5052,                  7e-05,                0.00291,                  4e-05,                  2e-05,                 3.8941,                 7.5216,                 4.3769,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.2183,                 1.5053,                 1.5057,                0.01317,                0.12873,                0.01373,                0.00407,                 3.0809,                 6.8541,                 3.4135,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.1934,                 1.4682,                 1.4978,                0.56994,                0.02169,                0.01089,                0.00292,                 3.3097,                 6.0578,                 4.7275,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.1938,                 1.4632,                 1.4958,                 0.1002,                0.26173,                0.07353,                0.04281,                 3.0591,                 5.3375,                  3.796,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.1916,                 1.4746,                 1.4923,                0.19376,                0.04772,                0.00351,                0.00108,                 4.1769,                 5.2938,                 5.1052,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.2027,                 1.4688,                  1.499,                0.64644,                0.02864,                0.00882,                0.00305,                 3.3518,                 5.9338,                 3.9891,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.1934,                 1.4696,                  1.487,                0.27787,                0.00613,                0.00303,                0.00061,                 3.9585,                 10.698,                 4.9401,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.1895,                 1.4406,                 1.4884,                0.19573,                0.08841,                0.04297,                0.01967,                 3.2511,                 4.4474,                 4.0121,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.1699,                 1.3574,                  1.555,                0.19573,                0.08841,                0.04297,                0.01967,                 4.3753,                 7.0223,                  5.024,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.1415,                 1.2844,                 1.5293,                0.50433,                0.32186,                0.30382,                0.15367,                 1.9812,                 2.4866,                 2.3385,               0.000109,               0.000109,               0.000109
                     93,                 1.1369,                 1.2676,                 1.5274,                0.34403,                0.44865,                 0.4034,                0.23376,                 1.5876,                 2.3407,                  1.879,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.1314,                 1.2413,                 1.5181,                0.36978,                0.46544,                0.36685,                0.19009,                 1.7585,                  2.512,                 2.0624,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.1213,                 1.2548,                 1.5135,                0.59821,                0.34939,                0.33659,                0.20588,                 1.5863,                 2.5672,                  1.971,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.1181,                  1.231,                 1.5045,                0.29713,                0.36813,                0.30112,                0.16988,                 1.6733,                 2.6018,                 2.1804,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                  1.116,                 1.2147,                  1.505,                0.41987,                0.39087,                0.38088,                0.23205,                 1.5488,                 2.7533,                 1.8728,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.1199,                 1.2057,                 1.5101,                0.33461,                0.41543,                0.36127,                0.21243,                 1.5428,                 2.4541,                 1.8557,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                 1.1031,                 1.2044,                 1.4914,                0.54304,                 0.5178,                0.52099,                0.32681,                 1.3656,                 1.9185,                 1.7268,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                 1.0891,                 1.2082,                 1.4956,                0.58266,                0.50771,                0.57006,                 0.3667,                 1.2341,                 1.6587,                 1.6066,               2.98e-05,               2.98e-05,               2.98e-05
