                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.0482,                 1.1442,                 1.3867,                0.72793,                 0.7446,                0.79463,                0.56257,                 1.0949,                 1.0391,                 1.4982,               0.001882,               0.001882,               0.001882
                     85,                 1.0453,                 1.1321,                  1.375,                0.84463,                0.72161,                0.83357,                0.58583,                 1.0928,                0.93745,                 1.4846,               0.001783,               0.001783,               0.001783
                     86,                 1.0415,                 1.1159,                 1.3735,                 0.7989,                 0.7417,                0.82694,                0.59213,                 1.0832,                0.95146,                 1.4828,               0.001684,               0.001684,               0.001684
                     87,                 1.0302,                  1.108,                  1.372,                0.81727,                0.75778,                0.83575,                0.59467,                 1.0763,                0.91079,                 1.4768,               0.001585,               0.001585,               0.001585
                     88,                 1.0329,                 1.1139,                 1.3632,                0.81098,                 0.7264,                0.82676,                0.58737,                 1.0725,                0.95308,                 1.4631,               0.001486,               0.001486,               0.001486
                     89,                  1.022,                 1.1031,                 1.3687,                0.78936,                0.73921,                0.81919,                0.58845,                 1.0848,                0.94877,                 1.4748,               0.001387,               0.001387,               0.001387
                     90,                 1.0209,                 1.0815,                 1.3603,                0.80088,                0.74507,                0.83047,                0.59909,                  1.073,                0.92317,                 1.4602,               0.001288,               0.001288,               0.001288
                     91,                0.96659,                0.96725,                 1.4042,                0.80307,                0.75889,                0.83326,                0.59283,                 1.0681,                0.91043,                 1.4518,               0.001189,               0.001189,               0.001189
                     92,                0.93655,                0.92533,                 1.3759,                0.82687,                0.75896,                0.83884,                0.59736,                 1.0542,                 0.9016,                  1.455,                0.00109,                0.00109,                0.00109
                     93,                0.93924,                0.90841,                  1.379,                0.80857,                0.76083,                0.83929,                0.59985,                 1.0539,                0.89248,                  1.458,               0.000991,               0.000991,               0.000991
                     94,                0.92201,                0.88758,                 1.3723,                0.79149,                0.76656,                  0.837,                0.60253,                 1.0485,                0.88526,                 1.4602,               0.000892,               0.000892,               0.000892
                     95,                0.91468,                0.87229,                 1.3535,                0.79288,                0.77597,                0.84435,                0.61424,                 1.0379,                0.86652,                 1.4426,               0.000793,               0.000793,               0.000793
                     96,                0.89791,                0.83764,                 1.3383,                0.81514,                0.75629,                 0.8407,                0.61043,                 1.0499,                0.87651,                 1.4461,               0.000694,               0.000694,               0.000694
                     97,                0.89484,                0.84807,                 1.3382,                0.82351,                0.76447,                 0.8423,                0.60961,                 1.0401,                0.86434,                 1.4417,               0.000595,               0.000595,               0.000595
                     98,                0.88807,                0.82126,                 1.3356,                0.78983,                0.78616,                0.84231,                0.61054,                 1.0381,                0.85946,                 1.4438,               0.000496,               0.000496,               0.000496
                     99,                0.88802,                0.81611,                 1.3308,                0.78306,                0.78205,                 0.8431,                0.61455,                 1.0417,                0.85427,                 1.4421,               0.000397,               0.000397,               0.000397
                    100,                0.87469,                0.81091,                  1.331,                0.82068,                0.76456,                0.84541,                0.61124,                 1.0387,                0.85288,                 1.4429,               0.000298,               0.000298,               0.000298
